क्र.स.,स्थानीय तहको नाम,जिल्ला,स्थानीय तहको प्रकार,प्रदेश नम्बर,वेवसाईट,कैफियत
1,राजविराज नगरपालिका,सप्तरी,नगरपालिका,प्रदेश नम्बर २,rajbirajmun.gov.np,तयार
2,कञ्चनरुप नगरपालिका,सप्तरी,नगरपालिका,प्रदेश नम्बर २,kanchanrupmun.gov.np,तयार
3,डाक्नेश्वरी नगरपालिका,सप्तरी,नगरपालिका,प्रदेश नम्बर २,dakneshworimun.gov.np,तयार
4,बोदेबरसाईन नगरपालिका,सप्तरी,नगरपालिका,प्रदेश नम्बर २,bodebarsainmun.gov.np,तयार
5,खडक नगरपालिका,सप्तरी,नगरपालिका,प्रदेश नम्बर २,khadakmun.gov.np,तयार
6,शम्भुनाथ नगरपालिका,सप्तरी,नगरपालिका,प्रदेश नम्बर २,shambhunathmun.gov.np,तयार
7,सुरुङ्‍गा नगरपालिका,सप्तरी,नगरपालिका,प्रदेश नम्बर २,surungamun.gov.np,तयार
8,हनुमाननगर कङ्‌कालिनी नगरपालिका,सप्तरी,नगरपालिका,प्रदेश नम्बर २,hanumannagarkankalinimun.gov.np,तयार
9,सप्तकोशी नगरपालिका,सप्तरी,नगरपालिका,प्रदेश नम्बर २,saptakoshimun.gov.np,तयार
10,अग्निसाइर कृष्णासवरन गाउँपालिका,सप्तरी,गाउँपालिका,प्रदेश नम्बर २,agnisairkrishnasawaranmun.gov.np,तयाार हुन बाँकी
11,छिन्नमस्ता गाउँपालिका,सप्तरी,गाउँपालिका,प्रदेश नम्बर २,chhinnamastamun.gov.np,तयार
12,महादेवा गाउँपालिका,सप्तरी,गाउँपालिका,प्रदेश नम्बर २,mahadevamun.gov.np,तयार
13,तिरहुत गाउँपालिका,सप्तरी,गाउँपालिका,प्रदेश नम्बर २,tirahutmun.gov.np,तयार
14,तिलाठी कोईलाडी गाउँपालिका,सप्तरी,गाउँपालिका,प्रदेश नम्बर २,tilathikoiladimun.gov.np,तयार
15,रुपनी गाउँपालिका,सप्तरी,गाउँपालिका,प्रदेश नम्बर २,rupanimun.gov.np,तयार
16,बेल्ही चपेना गाउँपालिका,सप्तरी,गाउँपालिका,प्रदेश नम्बर २,belhichapenamun.gov.np,तयार
17,बिष्णुपुर गाउँपालिका,सप्तरी,गाउँपालिका,प्रदेश नम्बर २,bishnupurmunsaptari.gov.np,तयाार हुन बाँकी
18,बलान-बिहुल गाउँपालिका,सप्तरी,गाउँपालिका,प्रदेश नम्बर २,balanbihulmun.gov.np,तयाार हुन बाँकी
19,लहान नगरपालिका,सिराहा,नगरपालिका,प्रदेश नम्बर २,lahanmun.gov.np,तयार
20,धनगढीमाई नगरपालिका,सिराहा,नगरपालिका,प्रदेश नम्बर २,dhangadhimaimun.gov.np,तयार
21,सिरहा नगरपालिका,सिराहा,नगरपालिका,प्रदेश नम्बर २,sirahamun.gov.np,तयार
22,गोलबजार नगरपालिका,सिराहा,नगरपालिका,प्रदेश नम्बर २,golbazarmun.gov.np,तयार
23,मिर्चैयाँ नगरपालिका,सिराहा,नगरपालिका,प्रदेश नम्बर २,mirchaiyamun.gov.np,तयार
24,कल्याणपुर नगरपालिका,सिराहा,नगरपालिका,प्रदेश नम्बर २,kalyanpurmun.gov.np,तयार
25,कर्जन्हा नगरपालिका,सिराहा,नगरपालिका,प्रदेश नम्बर २,karjanhamun.gov.np,तयार
26,सुखीपुर नगरपालिका,सिराहा,नगरपालिका,प्रदेश नम्बर २,sukhipurmun.gov.np,तयार
27,भगवानपुर गाउँपालिका,सिराहा,गाउँपालिका,प्रदेश नम्बर २,bhagwanpurmun.gov.np,तयार
28,औरही गाउँपालिका,सिराहा,गाउँपालिका,प्रदेश नम्बर २,aurahimunsiraha.gov.np,तयार
29,विष्णुपुर गाउँपालिका,सिराहा,गाउँपालिका,प्रदेश नम्बर २,bishnupurmunsiraha.gov.np,तयार
30,बरियारपट्टी गाउँपालिका,सिराहा,गाउँपालिका,प्रदेश नम्बर २,bariyapattimun.gov.np,तयार
31,लक्ष्मीपुर पतारी गाउँपालिका,सिराहा,गाउँपालिका,प्रदेश नम्बर २,laxmipurpatarimun.gov.np,तयार
32,नरहा गाउँपालिका,सिराहा,गाउँपालिका,प्रदेश नम्बर २,narahamun.gov.np,तयार
33,सखुवानान्कारकट्टी गाउँपालिका,सिराहा,गाउँपालिका,प्रदेश नम्बर २,sakhuwanankarkattimun.gov.np,तयार
34,अर्नमा गाउँपालिका,सिराहा,गाउँपालिका,प्रदेश नम्बर २,anarmamun.gov.np,तयार
35,नवराजपुर गाउँपालिका,सिराहा,गाउँपालिका,प्रदेश नम्बर २,nawarajpurmun.gov.np,तयार
36,जनकपुर उपमहानगरपालिका,धनुषा,उपमहानगरपालिका,प्रदेश नम्बर २,janakpurmun.gov.np,तयार
37,क्षिरेश्वरनाथ नगरपालिका,धनुषा,नगरपालिका,प्रदेश नम्बर २,kshireshwornathmun.gov.np,तयार
38,गणेशमान चारनाथ नगरपालिका,धनुषा,नगरपालिका,प्रदेश नम्बर २,ganeshmancharnathmun.gov.np,तयार
39,धनुषाधाम नगरपालिका,धनुषा,नगरपालिका,प्रदेश नम्बर २,dhanushadhammun.gov.np,तयार
40,नगराइन नगरपालिका,धनुषा,नगरपालिका,प्रदेश नम्बर २,nagrainmun.gov.np,तयार
41,विदेह नगरपालिका,धनुषा,नगरपालिका,प्रदेश नम्बर २,bidehamun.gov.np,तयार
42,मिथिला नगरपालिका,धनुषा,नगरपालिका,प्रदेश नम्बर २,mithilamun.gov.np,तयार
43,शहीदनगर नगरपालिका,धनुषा,नगरपालिका,प्रदेश नम्बर २,shahidnagarmun.gov.np,तयार
44,सबैला नगरपालिका,धनुषा,नगरपालिका,प्रदेश नम्बर २,sabailamun.gov.np,तयार
45,कमला नगरपालिका,धनुषा,नगरपालिका,प्रदेश नम्बर २,kamalamun.gov.np,तयार
46,मिथिला बिहारी नगरपालिका,धनुषा,नगरपालिका,प्रदेश नम्बर २,mithilabiharimun.gov.np,तयार
47,हंसपुर नगरपालिका,धनुषा,नगरपालिका,प्रदेश नम्बर २,hansapurmun.gov.np,तयार
48,जनकनन्दिनी गाउँपालिका,धनुषा,गाउँपालिका,प्रदेश नम्बर २,janaknandinimun.gov.np,तयार
49,बटेश्वर गाउँपालिका,धनुषा,गाउँपालिका,प्रदेश नम्बर २,bateshwormun.gov.np,तयार
50,मुखियापट्टी मुसहरमिया गाउँपालिका,धनुषा,गाउँपालिका,प्रदेश नम्बर २,mukhiyapattimusaharmiyamun.gov.np,तयार
51,लक्ष्मीनिया गाउँपालिका,धनुषा,गाउँपालिका,प्रदेश नम्बर २,laxminiyamun.gov.np,तयार
52,औरही गाउँपालिका,धनुषा,गाउँपालिका,प्रदेश नम्बर २,aurahimundhanusha.gov.np,तयार
53,धनौजी गाउँपालिका,धनुषा,गाउँपालिका,प्रदेश नम्बर २,dhanaujimun.gov.np,तयाार हुन बाँकी
54,जलेश्वर नगरपालिका,महोत्तरी,नगरपालिका,प्रदेश नम्बर २,jaleshwormun.gov.np,तयार
55,बर्दिबास नगरपालिका,महोत्तरी,नगरपालिका,प्रदेश नम्बर २,bardibasmun.gov.np,तयार
56,गौशाला नगरपालिका,महोत्तरी,नगरपालिका,प्रदेश नम्बर २,gaushalamun.gov.np,तयार
57,लोहरपट्टी नगरपालिका,महोत्तरी,नगरपालिका,प्रदेश नम्बर २,loharpattimun.gov.np,तयार
