क्र.स.,स्थानीय तहको नाम,जिल्ला,स्थानीय तहको प्रकार,प्रदेश नम्बर,वेवसाईट,कैफियत
58,रामगोपालपुर नगरपालिका,महोत्तरी,नगरपालिका,प्रदेश नम्बर २,ramgopalpurmun.gov.np,तयार
59,मनरा शिसवा नगरपालिका,महोत्तरी,नगरपालिका,प्रदेश नम्बर २,manrashiswamun.gov.np,तयार
60,मटिहानी नगरपालिका,महोत्तरी,नगरपालिका,प्रदेश नम्बर २,matihanimun.gov.np,तयार
61,भँगाहा नगरपालिका,महोत्तरी,नगरपालिका,प्रदेश नम्बर २,bhagahamun.gov.np,तयार
62,बलवा नगरपालिका,महोत्तरी,नगरपालिका,प्रदेश नम्बर २,balwamun.gov.np,तयार
63,औरही नगरपालिका,महोत्तरी,नगरपालिका,प्रदेश नम्बर २,aurahimunmahottari.gov.np,तयार
64,एकडारा गाउँपालिका,महोत्तरी,गाउँपालिका,प्रदेश नम्बर २,ekdaramun.gov.np,तयार
65,सोनमा गाउँपालिका,महोत्तरी,गाउँपालिका,प्रदेश नम्बर २,sonmamun.gov.np,तयार
66,साम्सी गाउँपालिका,महोत्तरी,गाउँपालिका,प्रदेश नम्बर २,samsimun.gov.np,तयार
67,महोत्तरी गाउँपालिका,महोत्तरी,गाउँपालिका,प्रदेश नम्बर २,mahottarimun.gov.np,तयार
68,पिपरा गाउँपालिका,महोत्तरी,गाउँपालिका,प्रदेश नम्बर २,pipramun.gov.np,तयार
69,ईश्वरपुर नगरपालिका,सर्लाही,नगरपालिका,प्रदेश नम्बर २,ishworpurmun.gov.np,तयार
70,मलंगवा नगरपालिका,सर्लाही,नगरपालिका,प्रदेश नम्बर २,malangwamun.gov.np,तयार
71,लालबन्दी नगरपालिका,सर्लाही,नगरपालिका,प्रदेश नम्बर २,lalbandimun.gov.np,तयार
72,हरिपुर नगरपालिका,सर्लाही,नगरपालिका,प्रदेश नम्बर २,haripurmun.gov.np,तयार
73,हरिपुर्वा नगरपालिका,सर्लाही,नगरपालिका,प्रदेश नम्बर २,haripurwamun.gov.np,तयार
74,हरिवन नगरपालिका,सर्लाही,नगरपालिका,प्रदेश नम्बर २,harionmun.gov.np,तयार
75,बरहथवा नगरपालिका,सर्लाही,नगरपालिका,प्रदेश नम्बर २,barhathwamun.gov.np,तयार
76,बलरा नगरपालिका,सर्लाही,नगरपालिका,प्रदेश नम्बर २,balramun.gov.np,तयार
77,गोडैटा नगरपालिका,सर्लाही,नगरपालिका,प्रदेश नम्बर २,godaitamun.gov.np,तयार
78,बागमती नगरपालिका,सर्लाही,नगरपालिका,प्रदेश नम्बर २,bagmatimunsarlahi.gov.np,तयार
79,कविलासी नगरपालिका,सर्लाही,नगरपालिका,प्रदेश नम्बर २,kawilasimun.gov.np,तयार
80,चक्रघट्टा गाउँपालिका,सर्लाही,गाउँपालिका,प्रदेश नम्बर २,chakraghattamun.gov.np,तयार
81,चन्द्रनगर गाउँपालिका,सर्लाही,गाउँपालिका,प्रदेश नम्बर २,chandranagarmun.gov.np,तयार
82,धनकौल गाउँपालिका,सर्लाही,गाउँपालिका,प्रदेश नम्बर २,dhankaulmun.gov.np,तयार
83,ब्रह्मपुरी गाउँपालिका,सर्लाही,गाउँपालिका,प्रदेश नम्बर २,brahmapurimun.gov.np,तयार
84,रामनगर गाउँपालिका,सर्लाही,गाउँपालिका,प्रदेश नम्बर २,ramnagarmun.gov.np,तयार
85,विष्णु गाउँपालिका,सर्लाही,गाउँपालिका,प्रदेश नम्बर २,bishnumun.gov.np,तयार
86,कौडेना गाउँपालिका,सर्लाही,गाउँपालिका,प्रदेश नम्बर २,kaudenamun.gov.np,तयाार हुन बाँकी
87,पर्सा गाउँपालिका,सर्लाही,गाउँपालिका,प्रदेश नम्बर २,parsamun.gov.np,तयाार हुन बाँकी
88,बसबरीया गाउँपालिका,सर्लाही,गाउँपालिका,प्रदेश नम्बर २,basbariyamun.gov.np,तयाार हुन बाँकी
89,चन्द्रपुर नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,chandrapurmun.gov.np,तयार
90,गरुडा नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,garudamun.gov.np,तयार
91,गौर नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,gaurmun.gov.np,तयार
92,बौधीमाई नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,baudhimaimun.gov.np,तयार
93,बृन्दावन नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,brindawanmun.gov.np,तयार
94,देवाही गोनाही नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,dewahigonahimun.gov.np,तयार
95,गढीमाई नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,gadhimaimun.gov.np,तयार
96,गुजरा नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,gujaramun.gov.np,तयार
97,कटहरिया नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,katahariyamun.gov.np,तयार
98,माधव नारायण नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,madhavnarayanmun.gov.np,तयार
99,मौलापुर नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,maulapurmun.gov.np,तयार
100,फतुवाबिजयपुर नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,phatuwabijaypurmun.gov.np,तयार
101,ईशनाथ नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,ishnathmun.gov.np,तयार
102,परोहा नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,parohamun.gov.np,तयार
103,राजपुर नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,rajpurmunrautahat.gov.np,तयार
104,राजदेवी नगरपालिका,रौतहट,नगरपालिका,प्रदेश नम्बर २,rajdevimun.gov.np,तयाार हुन बाँकी
105,दुर्गा भगवती गाउँपालिका,रौतहट,गाउँपालिका,प्रदेश नम्बर २,durgabhagawatimun.gov.np,तयार
106,यमुनामाई गाउँपालिका,रौतहट,गाउँपालिका,प्रदेश नम्बर २,yamunamaimun.gov.np,तयाार हुन बाँकी
107,कलैया उपमहानगरपालिका,वारा,उपमहानगरपालिका,प्रदेश नम्बर २,kalaiyamun.gov.np,तयार
108,जीतपुर सिमरा उपमहानगरपालिका,वारा,उपमहानगरपालिका,प्रदेश नम्बर २,jeetpursimaramun.gov.np,तयार
109,कोल्हवी नगरपालिका,वारा,नगरपालिका,प्रदेश नम्बर २,kolhabimun.gov.np,तयार
110,निजगढ नगरपालिका,वारा,नगरपालिका,प्रदेश नम्बर २,nijgadhmun.gov.np,तयार
111,महागढीमाई नगरपालिका,वारा,नगरपालिका,प्रदेश नम्बर २,mahagadhimaimun.gov.np,तयार
112,सिम्रौनगढ नगरपालिका,वारा,नगरपालिका,प्रदेश नम्बर २,simraungadhmun.gov.np,तयार
113,पचरौता नगरपालिका,वारा,नगरपालिका,प्रदेश नम्बर २,pachrautamun.gov.np,तयार
114,आदर्श कोटवाल गाउँपालिका,वारा,गाउँपालिका,प्रदेश नम्बर २,aadarshakotwalmun.gov.np,तयार
115,करैयामाई गाउँपालिका,वारा,गाउँपालिका,प्रदेश नम्बर २,karaiyamaimun.gov.np,तयार
116,देवताल गाउँपालिका,वारा,गाउँपालिका,प्रदेश नम्बर २,devtalmun.gov.np,तयार
117,परवानीपुर गाउँपालिका,वारा,गाउँपालिका,प्रदेश नम्बर २,parwanipurmun.gov.np,तयार
118,प्रसौनी गाउँपालिका,वारा,गाउँपालिका,प्रदेश नम्बर २,prasaunimun.gov.np,तयार
119,फेटा गाउँपालिका,वारा,गाउँपालिका,प्रदेश नम्बर २,phetamun.gov.np,तयार
120,बारागढीगाउँपालिका,वारा,गाउँपालिका,प्रदेश नम्बर २,baragadhimun.gov.np,तयार
121,सुवर्ण गाउँपालिका,वारा,गाउँपालिका,प्रदेश नम्बर २,suwarnamun.gov.np,तयार
122,विश्रामपुर गाउँपालिका,वारा,गाउँपालिका,प्रदेश नम्बर २,bishrampurmun.gov.np,तयाार हुन बाँकी
123,बिरगंज महानगरपालिका,पर्सा,महानगरपालिका,प्रदेश नम्बर २,birgunjmun.gov.np,तयार
124,पोखरिया नगरपालिका,पर्सा,नगरपालिका,प्रदेश नम्बर २,pokhariyamun.gov.np,तयार
125,बहुदरमाई नगरपालिका,पर्सा,नगरपालिका,प्रदेश नम्बर २,bahudarmaimun.gov.np,तयार
126,पर्सागढी नगरपालिका,पर्सा,नगरपालिका,प्रदेश नम्बर २,parsagadhimun.gov.np,तयार
127,ठोरी गाउँपालिका,पर्सा,गाउँपालिका,प्रदेश नम्बर २,thorimun.gov.np,तयाार हुन बाँकी
128,जगरनाथपुर गाउँपालिका,पर्सा,गाउँपालिका,प्रदेश नम्बर २,jagarnathpurmun.gov.np,तयार
129,धोबीनी गाउँपालिका,पर्सा,गाउँपालिका,प्रदेश नम्बर २,dhobinimun.gov.np,तयार
130,छिपहरमाई गाउँपालिका,पर्सा,गाउँपालिका,प्रदेश नम्बर २,chhipaharmaimun.gov.np,तयार
131,पकाहा मैनपुर गाउँपालिका,पर्सा,गाउँपालिका,प्रदेश नम्बर २,pakahamainpurmun.gov.np,तयार
132,बिन्दबासिनी गाउँपालिका,पर्सा,गाउँपालिका,प्रदेश नम्बर २,bindabasinimun.gov.np,तयार
133,सखुवा प्रसौनी गाउँपालिका,पर्सा,गाउँपालिका,प्रदेश नम्बर २,sakhuwaprasaunimun.gov.np,तयार
134,पटेर्वा सुगौली गाउँपालिका,पर्सा,गाउँपालिका,प्रदेश नम्बर २,paterwasugaulimun.gov.np,तयार
135,कालिकामाई गाउँपालिका,पर्सा,गाउँपालिका,प्रदेश नम्बर २,kalikamaimun.gov.np,तयाार हुन बाँकी
136,जिरा भवानी गाउँपालिका,पर्सा,गाउँपालिका,प्रदेश नम्बर २,jirabhawanimun.gov.np,तयाार हुन बाँकी
