क्र.स.,स्थानीय तहको नाम,जिल्ला,स्थानीय तहको प्रकार,प्रदेश नम्बर,वेवसाईट,कैफियत
48,रतुवामाई नगरपालिका,मोरंग,नगरपालिका,प्रदेश नम्बर १,ratuwamaimun.gov.np,तयार
49,सुनवर्षि नगरपालिका,मोरंग,नगरपालिका,प्रदेश नम्बर १,sunawarshimun.gov.np,तयार
50,उर्लावारी नगरपालिका,मोरंग,नगरपालिका,प्रदेश नम्बर १,urlabarimun.gov.np,तयार
51,सुन्दरहरैचा नगरपालिका,मोरंग,नगरपालिका,प्रदेश नम्बर १,sundarharaichamun.gov.np,तयार
52,बुढीगंगा गाउँपालिका,मोरंग,गाउँपालिका,प्रदेश नम्बर १,budhigangamunmorang.gov.np,तयार
53,धनपालथान गाउँपालिका,मोरंग,गाउँपालिका,प्रदेश नम्बर १,dhanapalthanmun.gov.np,तयार
54,ग्रामथान गाउँपालिका,मोरंग,गाउँपालिका,प्रदेश नम्बर १,gramthanmun.gov.np,तयार
55,जहदा गाउँपालिका,मोरंग,गाउँपालिका,प्रदेश नम्बर १,jahadamun.gov.np,तयार
56,कानेपोखरी गाउँपालिका,मोरंग,गाउँपालिका,प्रदेश नम्बर १,kanepokharimun.gov.np,तयार
57,कटहरी गाउँपालिका,मोरंग,गाउँपालिका,प्रदेश नम्बर १,kataharimun.gov.np,तयार
58,केरावारी गाउँपालिका,मोरंग,गाउँपालिका,प्रदेश नम्बर १,kerabarimun.gov.np,तयार
59,मिक्लाजुङ गाउँपालिका,मोरंग,गाउँपालिका,प्रदेश नम्बर १,miklajungmunmorang.gov.np,तयार
60,ईटहरी उपमहानगरपालिका,सुनसरी,उपमहानगरपालिका,प्रदेश नम्बर १,itaharimun.gov.np,तयार
61,धरान उपमहानगरपालिका,सुनसरी,उपमहानगरपालिका,प्रदेश नम्बर १,dharan.gov.np,तयार
62,ईनरुवा नगरपालिका,सुनसरी,नगरपालिका,प्रदेश नम्बर १,inaruwamun.gov.np,तयार
63,दुहवी नगरपालिका,सुनसरी,नगरपालिका,प्रदेश नम्बर १,duhabimun.gov.np,तयाार हुन बाँकी
64,रामधुनी नगरपालिका,सुनसरी,नगरपालिका,प्रदेश नम्बर १,ramdhunimun.gov.np,तयार
65,बराह नगरपालिका,सुनसरी,नगरपालिका,प्रदेश नम्बर १,barahamun.gov.np,तयार
66,देवानगञ्ज गाउँपालिका,सुनसरी,गाउँपालिका,प्रदेश नम्बर १,dewanganjmun.gov.np,तयार
67,कोशी गाउँपालिका,सुनसरी,गाउँपालिका,प्रदेश नम्बर १,koshimun.gov.np,तयार
68,गढी गाउँपालिका,सुनसरी,गाउँपालिका,प्रदेश नम्बर १,gadhimun.gov.np,तयार
69,बर्जु गाउँपालिका,सुनसरी,गाउँपालिका,प्रदेश नम्बर १,barjumun.gov.np,तयार
70,भोक्राहा गाउँपालिका,सुनसरी,गाउँपालिका,प्रदेश नम्बर १,bhokrahamun.gov.np,तयार
71,हरिनगरा गाउँपालिका,सुनसरी,गाउँपालिका,प्रदेश नम्बर १,harinagaramun.gov.np,तयार
72,पाख्रिबास नगरपालिका,धनकुटा,नगरपालिका,प्रदेश नम्बर १,pakhribasmun.gov.np,तयार
73,धनकुटा नगरपालिका,धनकुटा,नगरपालिका,प्रदेश नम्बर १,dhankutamun.gov.np,तयार
74,महालक्ष्मी नगरपालिका,धनकुटा,नगरपालिका,प्रदेश नम्बर १,mahalaxmimundhankuta.gov.np,तयार
75,साँगुरीगढी गाउँपालिका,धनकुटा,गाउँपालिका,प्रदेश नम्बर १,sangurigadhimun.gov.np,तयार
76,खाल्सा छिन्ताङ सहिदभूमि गाउँपालिका,धनकुटा,गाउँपालिका,प्रदेश नम्बर १,khalsachhintangshahidbhumimun.gov.np,तयार
77,छथर जोरपाटी गाउँपालिका,धनकुटा,गाउँपालिका,प्रदेश नम्बर १,chhatharjorpatimun.gov.np,तयार
78,चौविसे गाउँपालिका,धनकुटा,गाउँपालिका,प्रदेश नम्बर १,choubisemun.gov.np,तयार
79,म्याङलुङ नगरपालिका,तेहथुम,नगरपालिका,प्रदेश नम्बर १,myanglungmun.gov.np,तयार
80,लालीगुराँस नगरपालिका,तेहथुम,नगरपालिका,प्रदेश नम्बर १,laliguransmun.gov.np,तयार
81,आठराई गाउँपालिका,तेहथुम,गाउँपालिका,प्रदेश नम्बर १,aathraimun.gov.np,तयार
82,छथर गाउँपालिका,तेहथुम,गाउँपालिका,प्रदेश नम्बर १,chhatharmun.gov.np,तयार
83,फेदाप गाउँपालिका,तेहथुम,गाउँपालिका,प्रदेश नम्बर १,phedapmun.gov.np,तयार
84,मेन्छयायेम गाउँपालिका,तेहथुम,गाउँपालिका,प्रदेश नम्बर १,menchhayayemmun.gov.np,तयार
85,चैनपुर नगरपालिका,संखुवासभा,नगरपालिका,प्रदेश नम्बर १,chainpurmun.gov.np,तयार
86,धर्मदेवी नगरपालिका,संखुवासभा,नगरपालिका,प्रदेश नम्बर १,dharmadevimun.gov.np,तयार
87,खाँदवारी नगरपालिका,संखुवासभा,नगरपालिका,प्रदेश नम्बर १,khandbarimun.gov.np,तयार
88,मादी नगरपालिका,संखुवासभा,नगरपालिका,प्रदेश नम्बर १,madimunsankhuwasabha.gov.np,तयार
89,पाँचखपन नगरपालिका,संखुवासभा,नगरपालिका,प्रदेश नम्बर १,panchkhapanmun.gov.np,तयार
90,भोटखोला गाउँपालिका,संखुवासभा,गाउँपालिका,प्रदेश नम्बर १,bhotkholamun.gov.np,तयार
91,चिचिला गाउँपालिका,संखुवासभा,गाउँपालिका,प्रदेश नम्बर १,chichilamun.gov.np,तयार
92,मकालु गाउँपालिका,संखुवासभा,गाउँपालिका,प्रदेश नम्बर १,makalumun.gov.np,तयार
93,सभापोखरी गाउँपालिका,संखुवासभा,गाउँपालिका,प्रदेश नम्बर १,savapokharimun.gov.np,तयार
94,सिलीचोङ गाउँपालिका,संखुवासभा,गाउँपालिका,प्रदेश नम्बर १,silichongmun.gov.np,तयार
95,भोजपुर नगरपालिका,भोजपुर,नगरपालिका,प्रदेश नम्बर १,bhojpurmun.gov.np,तयार
96,षडानन्द नगरपालिका,भोजपुर,नगरपालिका,प्रदेश नम्बर १,shadanandamun.gov.np,तयार
97,ट्याम्केमैयुम गाउँपालिका,भोजपुर,गाउँपालिका,प्रदेश नम्बर १,tyamkemaiyummun.gov.np,तयार
98,रामप्रसाद राई गाउँपालिका,भोजपुर,गाउँपालिका,प्रदेश नम्बर १,ramprasadraimun.gov.np,तयार
99,अरुण गाउँपालिका,भोजपुर,गाउँपालिका,प्रदेश नम्बर १,arunmun.gov.np,तयार
100,पौवादुङमा गाउँपालिका,भोजपुर,गाउँपालिका,प्रदेश नम्बर १,pauwadungmamun.gov.np,तयार
101,साल्पासिलिछो गाउँपालिका,भोजपुर,गाउँपालिका,प्रदेश नम्बर १,salpasilichhomun.gov.np,तयार
102,आमचोक गाउँपालिका,भोजपुर,गाउँपालिका,प्रदेश नम्बर १,aamchowkmun.gov.np,तयार
103,हतुवागढी गाउँपालिका,भोजपुर,गाउँपालिका,प्रदेश नम्बर १,hatuwagadhimun.gov.np,तयार
104,सोलुदुधकुण्ड नगरपालिका,सोलुखुम्बु,नगरपालिका,प्रदेश नम्बर १,solududhkundamun.gov.np,तयार
105,दुधकोसी गाउँपालिका,सोलुखुम्बु,गाउँपालिका,प्रदेश नम्बर १,dudhkoshimun.gov.np,तयार
106,खुम्वु पासाङल्हमु गाउँपालिका,सोलुखुम्बु,गाउँपालिका,प्रदेश नम्बर १,khumbupasanglhamumun.gov.np,तयार
107,दुधकौशिका गाउँपालिका,सोलुखुम्बु,गाउँपालिका,प्रदेश नम्बर १,dudhkaushikamun.gov.np,तयार
108,नेचासल्यान गाउँपालिका,सोलुखुम्बु,गाउँपालिका,प्रदेश नम्बर १,nechasalyanmun.gov.np,तयार
109,माहाकुलुङ गाउँपालिका,सोलुखुम्बु,गाउँपालिका,प्रदेश नम्बर १,mahakulungmun.gov.np,तयार
110,लिखु पिके गाउँपालिका,सोलुखुम्बु,गाउँपालिका,प्रदेश नम्बर १,likhupikemun.gov.np,तयार
111,सोताङ गाउँपालिका,सोलुखुम्बु,गाउँपालिका,प्रदेश नम्बर १,sotangmun.gov.np,तयार
112,सिद्दिचरण नगरपालिका,ओखलढुंगा,नगरपालिका,प्रदेश नम्बर १,siddhicharanmun.gov.np,तयार
113,खिजिदेम्बा गाउँपालिका,ओखलढुंगा,गाउँपालिका,प्रदेश नम्बर १,khijidembamun.gov.np,तयार
114,चम्पादेवी गाउँपालिका,ओखलढुंगा,गाउँपालिका,प्रदेश नम्बर १,champadevimun.gov.np,तयार
115,चिशंखुगढी गाउँपालिका,ओखलढुंगा,गाउँपालिका,प्रदेश नम्बर १,chishankhugadhimun.gov.np,तयार
116,मानेभञ्याङ गाउँपालिका,ओखलढुंगा,गाउँपालिका,प्रदेश नम्बर १,manebhanjyangmun.gov.np,तयार
117,मोलुङ गाउँपालिका,ओखलढुंगा,गाउँपालिका,प्रदेश नम्बर १,molungmun.gov.np,तयार
118,लिखु गाउँपालिका,ओखलढुंगा,गाउँपालिका,प्रदेश नम्बर १,likhumunokhaldhunga.gov.np,तयार
119,सुनकोशी गाउँपालिका,ओखलढुंगा,गाउँपालिका,प्रदेश नम्बर १,sunkoshimunokhaldhunga.gov.np,तयार
120,हलेसी तुवाचुङ नगरपालिका,खोटाङ,नगरपालिका,प्रदेश नम्बर १,halesituwachungmun.gov.np,तयार
121,रुपाकोट मझुवागढी नगरपालिका,खोटाङ,नगरपालिका,प्रदेश नम्बर १,rupakotmajhuwagadhimun.gov.np,तयार
122,ऐसेलुखर्क गाउँपालिका,खोटाङ,गाउँपालिका,प्रदेश नम्बर १,aiselukharkamun.gov.np,तयार
123,लामीडाँडा गाउँपालिका,खोटाङ,गाउँपालिका,प्रदेश नम्बर १,lamidandamun.gov.np,तयार
124,जन्तेढुंगा गाउँपालिका,खोटाङ,गाउँपालिका,प्रदेश नम्बर १,jantedhungamun.gov.np,तयार
125,खोटेहाङ गाउँपालिका,खोटाङ,गाउँपालिका,प्रदेश नम्बर १,khotehangmun.gov.np,तयार
126,केपिलासगढी गाउँपालिका,खोटाङ,गाउँपालिका,प्रदेश नम्बर १,kepilasgadhimun.gov.np,तयार
127,दिप्रुङ गाउँपालिका,खोटाङ,गाउँपालिका,प्रदेश नम्बर १,diprungmun.gov.np,तयार
128,साकेला गाउँपालिका,खोटाङ,गाउँपालिका,प्रदेश नम्बर १,sakelamun.gov.np,तयार
129,वराहपोखरी गाउँपालिका,खोटाङ,गाउँपालिका,प्रदेश नम्बर १,barahapokharimun.gov.np,तयार
130,कटारी नगरपालिका,उदयपुर,नगरपालिका,प्रदेश नम्बर १,katarimun.gov.np,तयार
131,चौदण्डीगढी नगरपालिका,उदयपुर,नगरपालिका,प्रदेश नम्बर १,chaudandigadhimun.gov.np,तयार
132,त्रियुगा नगरपालिका,उदयपुर,नगरपालिका,प्रदेश नम्बर १,triyugamun.gov.np,तयार
133,वेलका नगरपालिका,उदयपुर,नगरपालिका,प्रदेश नम्बर १,belakamun.gov.np,तयार
134,उदयपुरगढी गाउँपालिका,उदयपुर,गाउँपालिका,प्रदेश नम्बर १,udayapurgadhimun.gov.np,तयार
135,ताप्ली गाउँपालिका,उदयपुर,गाउँपालिका,प्रदेश नम्बर १,taplimun.gov.np,तयार
136,रौतामाई गाउँपालिका,उदयपुर,गाउँपालिका,प्रदेश नम्बर १,rautamaimun.gov.np,तयार
137,सुनकोशी गाउँपालिका,उदयपुर,गाउँपालिका,प्रदेश नम्बर १,sunkoshimunudayapur.gov.np,तयार
