क्र.स.,स्थानीय तहको नाम,जिल्ला,स्थानीय तहको प्रकार,प्रदेश नम्बर,वेवसाईट,कैफियत
1,फुङलिङ नगरपालिका,ताप्लेजुङ,नगरपालिका,प्रदेश नम्बर १,phunglingmun.gov.np,तयार
2,आठराई त्रिवेणी गाउँपालिका,ताप्लेजुङ,गाउँपालिका,प्रदेश नम्बर १,aathraitribenimun.gov.np,तयार
3,सिदिङ्वा गाउँपालिका,ताप्लेजुङ,गाउँपालिका,प्रदेश नम्बर १,sidingbamun.gov.np,तयार
4,फक्ताङलुङ गाउँपालिका,ताप्लेजुङ,गाउँपालिका,प्रदेश नम्बर १,phaktanglungmun.gov.np,तयार
5,मिक्वाखोला गाउँपालिका,ताप्लेजुङ,गाउँपालिका,प्रदेश नम्बर १,mikwakholamun.gov.np,तयार
6,मेरिङदेन गाउँपालिका,ताप्लेजुङ,गाउँपालिका,प्रदेश नम्बर १,meringdenmun.gov.np,तयार
7,मैवाखोला गाउँपालिका,ताप्लेजुङ,गाउँपालिका,प्रदेश नम्बर १,maiwakholamun.gov.np,तयार
8,याङवरक गाउँपालिका,ताप्लेजुङ,गाउँपालिका,प्रदेश नम्बर १,yangwarakmuntaplejung.gov.np,तयार
9,सिरीजङ्घा गाउँपालिका,ताप्लेजुङ,गाउँपालिका,प्रदेश नम्बर १,sirijanghamun.gov.np,तयार
10,फिदिम नगरपालिका,पाँचथर,नगरपालिका,प्रदेश नम्बर १,phidimmun.gov.np,तयार
11,फालेलुंग गाउँपालिका,पाँचथर,गाउँपालिका,प्रदेश नम्बर १,phalelungmun.gov.np,तयार
12,फाल्गुनन्द गाउँपालिका,पाँचथर,गाउँपालिका,प्रदेश नम्बर १,phalgunandamun.gov.np,तयार
13,हिलिहाङ गाउँपालिका,पाँचथर,गाउँपालिका,प्रदेश नम्बर १,hilihangmun.gov.np,तयार
14,कुम्मायक गाउँपालिका,पाँचथर,गाउँपालिका,प्रदेश नम्बर १,kummayakmun.gov.np,तयार
15,मिक्लाजुङ गाउँपालिका,पाँचथर,गाउँपालिका,प्रदेश नम्बर १,miklajungmunpanchthar.gov.np,तयार
16,तुम्बेवा गाउँपालिका,पाँचथर,गाउँपालिका,प्रदेश नम्बर १,tumwewamun.gov.np,तयार
17,याङवरक गाउँपालिका,पाँचथर,गाउँपालिका,प्रदेश नम्बर १,yangwarakmunpanchthar.gov.np,तयार
18,ईलाम नगरपालिका,ईलाम,नगरपालिका,प्रदेश नम्बर १,ilammun.gov.np,तयार
19,देउमाई नगरपालिका,ईलाम,नगरपालिका,प्रदेश नम्बर १,deumaimun.gov.np,तयार
20,माई नगरपालिका,ईलाम,नगरपालिका,प्रदेश नम्बर १,maimun.gov.np,तयार
21,सूर्योदय नगरपालिका,ईलाम,नगरपालिका,प्रदेश नम्बर १,suryodayamun.gov.np,तयार
22,फाकफोकथुम गाउँपालिका,ईलाम,गाउँपालिका,प्रदेश नम्बर १,phakphokthummun.gov.np,तयार
23,चुलाचुली गाउँपालिका,ईलाम,गाउँपालिका,प्रदेश नम्बर १,chulachulimun.gov.np,तयार
24,माईजोगमाई गाउँपालिका,ईलाम,गाउँपालिका,प्रदेश नम्बर १,maijogmaimun.gov.np,तयार
25,माङसेबुङ गाउँपालिका,ईलाम,गाउँपालिका,प्रदेश नम्बर १,mansebungmun.gov.np,तयार
26,रोङ गाउँपालिका,ईलाम,गाउँपालिका,प्रदेश नम्बर १,rongmun.gov.np,तयार
27,सन्दकपुर गाउँपालिका,ईलाम,गाउँपालिका,प्रदेश नम्बर १,sandakpurmun.gov.np,तयार
28,मेचीनगर नगरपालिका,झापा,नगरपालिका,प्रदेश नम्बर १,mechinagarmun.gov.np,तयार
29,दमक नगरपालिका,झापा,नगरपालिका,प्रदेश नम्बर १,damakmun.gov.np,तयार
30,कन्काई नगरपालिका,झापा,नगरपालिका,प्रदेश नम्बर १,kankaimun.gov.np,तयार
31,भद्रपुर नगरपालिका,झापा,नगरपालिका,प्रदेश नम्बर १,bhadrapurmun.gov.np,तयार
32,अर्जुनधारा नगरपालिका,झापा,नगरपालिका,प्रदेश नम्बर १,arjundharamun.gov.np,तयार
33,शिवशताक्षी नगरपालिका,झापा,नगरपालिका,प्रदेश नम्बर १,shivasatakshimun.gov.np,तयार
34,गौरादह नगरपालिका,झापा,नगरपालिका,प्रदेश नम्बर १,gauradahamun.gov.np,तयार
35,विर्तामोड नगरपालिका,झापा,नगरपालिका,प्रदेश नम्बर १,birtamodmun.gov.np,तयार
36,कमल गाउँपालिका,झापा,गाउँपालिका,प्रदेश नम्बर १,kamalmun.gov.np,तयार
37,गौरीगंज गाउँपालिका,झापा,गाउँपालिका,प्रदेश नम्बर १,gaurigunjmun.gov.np,तयार
38,बाह्रदशी गाउँपालिका,झापा,गाउँपालिका,प्रदेश नम्बर १,bahradashimun.gov.np,तयार
39,झापा गाउँपालिका,झापा,गाउँपालिका,प्रदेश नम्बर १,jhapamun.gov.np,तयार
40,बुद्धशान्ति गाउँपालिका,झापा,गाउँपालिका,प्रदेश नम्बर १,buddhashantimun.gov.np,तयार
41,हल्दिवारी गाउँपालिका,झापा,गाउँपालिका,प्रदेश नम्बर १,haldibarimun.gov.np,तयार
42,कचनकवल गाउँपालिका,झापा,गाउँपालिका,प्रदेश नम्बर १,kachankawalmun.gov.np,तयार
43,विराटनगर महानगरपालिका,मोरंग,महानगरपालिका,प्रदेश नम्बर १,biratnagarmun.gov.np,तयार
44,बेलवारी नगरपालिका,मोरंग,नगरपालिका,प्रदेश नम्बर १,belbarimun.gov.np,तयार
45,लेटाङ नगरपालिका,मोरंग,नगरपालिका,प्रदेश नम्बर १,letangmun.gov.np,तयार
46,पथरी शनिश्चरे नगरपालिका,मोरंग,नगरपालिका,प्रदेश नम्बर १,patharishanishcharemun.gov.np,तयार
47,रंगेली नगरपालिका,मोरंग,नगरपालिका,प्रदेश नम्बर १,rangelimun.gov.np,तयार
