क्र.स.,स्थानीय तहको नाम,जिल्ला,स्थानीय तहको प्रकार,प्रदेश नम्बर,वेवसाईट,कैफियत
1,मुसिकोट नगरपालिका,रुकुम (पश्चिम भाग),नगरपालिका,प्रदेश नम्बर ६,musikotmunrukum.gov.np,तयाार हुन बाँकी
2,चौरजहारी नगरपालिका,रुकुम (पश्चिम भाग),नगरपालिका,प्रदेश नम्बर ६,chaurjaharimun.gov.np,तयार
3,आठबिसकोट नगरपालिका,रुकुम (पश्चिम भाग),नगरपालिका,प्रदेश नम्बर ६,aathbiskotmun.gov.np,तयार
4,बाँफिकोट गाउँपालिका,रुकुम (पश्चिम भाग),गाउँपालिका,प्रदेश नम्बर ६,banphikotmun.gov.np,तयार
5,त्रिवेणी गाउँपालिका,रुकुम (पश्चिम भाग),गाउँपालिका,प्रदेश नम्बर ६,trivenimunrukum.gov.np,तयार
6,सानी भेरी गाउँपालिका,रुकुम (पश्चिम भाग),गाउँपालिका,प्रदेश नम्बर ६,sanibherimun.gov.np,तयार
7,शारदा नगरपालिका,सल्यान,नगरपालिका,प्रदेश नम्बर ६,sharadamun.gov.np,तयार
8,बागचौर नगरपालिका,सल्यान,नगरपालिका,प्रदेश नम्बर ६,bagchaurmun.gov.np,तयार
9,बनगाड कुपिण्डे नगरपालिका,सल्यान,नगरपालिका,प्रदेश नम्बर ६,bangadkupindemun.gov.np,तयार
10,कालिमाटी गाउँपालिका,सल्यान,गाउँपालिका,प्रदेश नम्बर ६,kalimatimun.gov.np,तयार
11,त्रिवेणी गाउँपालिका,सल्यान,गाउँपालिका,प्रदेश नम्बर ६,trivenimunrolpa.gov.np,तयार
12,कपुरकोट गाउँपालिका,सल्यान,गाउँपालिका,प्रदेश नम्बर ६,kapurkotmun.gov.np,तयार
13,छत्रेश्वरी गाउँपालिका,सल्यान,गाउँपालिका,प्रदेश नम्बर ६,chhatreshworimun.gov.np,तयार
14,ढोरचौर गाउँपालिका,सल्यान,गाउँपालिका,प्रदेश नम्बर ६,dhorchaurmun.gov.np,तयार
15,कुमाखमालिका गाउँपालिका,सल्यान,गाउँपालिका,प्रदेश नम्बर ६,kumakhmalikamun.gov.np,तयार
16,दार्मा गाउँपालिका,सल्यान,गाउँपालिका,प्रदेश नम्बर ६,darmamun.gov.np,तयार
17,बीरेन्द्रनगर नगरपालिका,सुर्खेत,नगरपालिका,प्रदेश नम्बर ६,birendranagarmun.gov.np,तयार
18,भेरीगंगा नगरपालिका,सुर्खेत,नगरपालिका,प्रदेश नम्बर ६,bherigangamun.gov.np,तयार
19,गुर्भाकोट नगरपालिका,सुर्खेत,नगरपालिका,प्रदेश नम्बर ६,gurbhakotmun.gov.np,तयार
20,पञ्चपुरी नगरपालिका,सुर्खेत,नगरपालिका,प्रदेश नम्बर ६,panchapurimun.gov.np,तयार
21,लेकवेशी नगरपालिका,सुर्खेत,नगरपालिका,प्रदेश नम्बर ६,lekbeshimun.gov.np,तयार
22,चौकुने गाउँपालिका,सुर्खेत,गाउँपालिका,प्रदेश नम्बर ६,chaukunemun.gov.np,तयार
23,बराहताल गाउँपालिका,सुर्खेत,गाउँपालिका,प्रदेश नम्बर ६,barahatalmun.gov.np,तयार
